,tconst,primaryTitle,startYear,genres,directors,cast,averageRating,numVotes,main_dir,dirname
144093,tt0424972,Drei Drachen vom Grill,1992,Comedy,"nm1731852,nm0774002,nm0951389","['nm0029056', 'nm1731698', 'nm1728288', 'nm1731852', 'nm1728456']",4.2,18,nm1731852,Thomas Goerke
273589,tt4184744,Full of Grace,2015,Drama,nm1358366,"['nm7059149', 'nm2080328', 'nm3032466', 'nm0420937', 'nm2087049']",5.5,348,nm1358366,Andrew Hyatt
85956,tt0169953,Git!,1965,"Drama,Family",nm0434356,"['nm0152218', 'nm0636011', 'nm0103320', 'nm0916253', 'nm0381000']",5.0,59,nm0434356,Ellis Kadison
219102,tt1835955,Errors of the Human Body,2012,"Drama,Horror,Mystery",nm1142688,"['nm1002664', 'nm0378932', 'nm1319365', 'nm0562201', 'nm2637335']",5.2,2416,nm1142688,Eron Sheean
296345,tt6473542,Ring Ring,2019,"Action,Horror,Thriller",nm5859010,"['nm1926300', 'nm0329511', 'nm2586351', 'nm0002073', 'nm0958430']",4.1,563,nm5859010,Adam Marino
175700,tt1157604,The Recruiter,2008,Documentary,nm0069797,"['nm3340944', 'nm3352875', 'nm3360802', 'nm3353046', 'nm3352709']",7.3,188,nm0069797,Edet Belzberg
332,tt0005415,The Great Adventure,1916,Comedy,nm0872868,"['nm0014680', 'nm0399171', 'nm0057500', 'nm0111695', 'nm0521102']",5.2,9,nm0872868,Laurence Trimble
185877,tt13010422,Influenza,2024,"Comedy,Horror",nm7611461,"['nm16260733', 'nm5996175', 'nm0182129', 'nm14933272', 'nm8997928']",5.2,18,nm7611461,Felix Schäfer
166660,tt10453160,Nightmare of Darkness,2018,"Horror,Thriller",nm14700023,"['nm11556537', 'nm14700021', 'nm11520028', 'nm9898417', 'nm14700023']",6.6,9,nm14700023,Yu Su
106951,tt0246204,Rudranetra,1989,"Action,Crime,Thriller",nm0706484,"['nm0158112', 'nm0897227', 'nm0705549', 'nm0710623', 'nm0706499']",6.6,89,nm0706484,K. Raghavendra Rao
179446,tt12089202,Bosu Bir Yerde,2016,Comedy,nm1856823,"['nm3118314', 'nm2414682', 'nm1698916', 'nm5645341', 'nm4363565']",3.7,22,nm1856823,Kemal Uzun
191082,tt13599786,Anime borboniche,2020,Drama,"nm6584824,nm12136955","['nm0536930', 'nm1530895', 'nm0261164', 'nm0184383', 'nm6584824']",5.9,24,nm6584824,Paolo Consorti
119622,tt0292097,Markova: Comfort Gay,2000,"Biography,Drama,History",nm0692358,"['nm1006879', 'nm0704479', 'nm1035919', 'nm1145703', 'nm1145697']",7.0,215,nm0692358,Gil Portes
297788,tt6666294,Loco,2020,"Drama,Thriller",nm4005191,"['nm0364110', 'nm2402764', 'nm1534895', 'nm0152594', 'nm0139858']",4.5,139,nm4005191,Justin Galindo
26008,tt0052722,Darby O'Gill and the Little People,1959,"Adventure,Family,Fantasy",nm0829038,"['nm0789185', 'nm0613130', 'nm0000125', 'nm0640618', 'nm0601476']",7.1,9521,nm0829038,Robert Stevenson
96255,tt0201007,Rechter Thomas,1953,"Crime,Drama",nm0810295,"['nm0111382', 'nm0241109', 'nm0884779', 'nm0887999', 'nm0188536']",6.5,8,nm0810295,Walter Smith
54902,tt0093224,House of the Rising Sun,1987,Drama,nm0324982,"['nm0030344', 'nm0057159', 'nm0610463', 'nm0906817', 'nm0202318']",3.8,79,nm0324982,Greg Gold
177081,tt1176699,Novemberkind,2008,Drama,nm2275000,"['nm1031534', 'nm0559890', 'nm0774883', 'nm0079916', 'nm0803250']",6.6,496,nm2275000,Christian Schwochow
95108,tt0197751,O Paraíso Proibido,1981,\N,nm0717024,"['nm0088625', 'nm0023533', 'nm0103827', 'nm0470684', 'nm0071192']",7.0,23,nm0717024,Carlos Reichenbach
280305,tt4887668,To Noora with Love,2014,"Drama,Romance",nm7478146,"['nm1952830', 'nm4749360', 'nm3896678', 'nm1701016', 'nm0893449']",5.8,38,nm7478146,Babu Narayanan
85892,tt0169759,Deti razdorov,1984,\N,nm0038361,"['nm0698187', 'nm0880808', 'nm0038360']",6.7,15,nm0038361,Dinara Asanova
609,tt0007271,Romeo and Juliet,1916,Drama,nm0250053,"['nm0000847', 'nm0384949', 'nm0924834', 'nm0492403', 'nm0227022']",6.4,23,nm0250053,J. Gordon Edwards
282426,tt5091592,Grigoriy Skovoroda,1960,"Biography,Drama",nm0442519,"['nm0301451', 'nm0468892', 'nm1467887', 'nm1249511', 'nm0417938']",5.9,13,nm0442519,Ivan Kavaleridze
27534,tt0054757,The Comancheros,1961,"Drama,Western","nm0002031,nm0000078","['nm0000078', 'nm0926183', 'nm0000839', 'nm0675490', 'nm0001511']",6.8,10187,nm0002031,Michael Curtiz
196362,tt14304128,Lego Monkie Kid: Revenge of the Spider Queen,2021,"Action,Adventure,Animation",nm8964499,"['nm1456471', 'nm2804113', 'nm1123750', 'nm3979780', 'nm2550198']",5.9,450,nm8964499,Sarah Harper
